Object ID,FIPS_CODE,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OCR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED
131,17031081000,7439,32,19.9,15.16549105,11.7,63,2.6
132,17031081100,4092,34.2,16.2,22.04797048,2.3,73.3,2.9
133,17031081201,4500,40.6,6.7,17.39949749,2.4,84,3.4
134,17031081202,2951,57.2,4.2,29.77667494,4.2,78.3,2.7
135,17031081300,5313,57.9,12.3,19.27512356,3.8,81.4,5.2
136,17031081401,2342,51.9,12.3,30.56338028,5.5,73.5,2.8
137,17031081402,5325,37.4,11.1,20.07637752,1.5,85.6,2.7
138,17031081403,8046,33.2,10.8,19.74260679,4.5,87.4,1
139,17031081500,4585,36.2,9.7,21.83455262,6.5,87.4,1.6
140,17031081600,4000,33.5,8,14.85780615,3.6,85.3,3.5
141,17031081700,3831,31.8,7.2,15.42669584,2.2,88.2,4.6
142,17031081800,9919,33.5,2.6,10.66007766,3.8,88.6,2.7
143,17031081900,923,33.2,22.6,17.03296703,20.2,63.6,1.9
144,17031090100,3508,43.5,3.9,23.79032258,20.2,44.8,2.8
145,17031090200,6838,37.9,2.1,10.99855282,20.2,51.8,1.9
146,17031090300,1378,40.7,3.4,6.315789474,22.1,52.3,0.5
147,17031100100,5563,38.5,7.2,18.8,27.2,36.7,9.3
148,17031100200,6872,41.5,9.6,20.22630835,31.2,35,3.2
149,17031100300,6186,50.1,4,46.91224269,26.3,42.9,2.3
150,17031100400,3364,40.8,5.3,13.33333333,20,43.3,5.2
151,17031100500,5696,44.2,5.9,48.88178914,22.1,39.8,0.7
152,17031100600,4789,43.4,5.2,6.807511737,27.2,37.6,3
153,17031100700,4700,46.2,4,23.03664921,26.4,39.5,4.3
154,17031110100,5367,37.5,12.1,23.62924282,19.7,39.9,5.2
155,17031110200,3433,39.5,9,7.41989882,31.3,29.8,7
156,17031110300,5720,42,13.2,8.527131783,26,30.4,3.9
157,17031110400,4467,42.1,8.2,16.66666667,26.1,40.5,5
158,17031110501,5390,41.1,5.2,16.84901532,24.5,40.1,5
159,17031110502,3612,36,9.6,14.65517241,28.6,36.4,2.7
160,17031120100,4102,46.4,2.5,21.11111111,15.4,60.9,2.6
