GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,COMMUNITY_AREA_GROUP
17031061902,4653,37.6,11.9,14.5,10.6,72.7,7.8,6,LAKE VIEW,North
17031062000,2981,28.7,5.8,17.7,6,85.7,2.2,6,LAKE VIEW,North
17031062100,3772,28.7,14.8,11.4,4.7,80.4,4.5,6,LAKE VIEW,North
17031062200,2719,29.3,6.7,17.1,5.9,86.9,2.3,6,LAKE VIEW,North
17031062300,1602,30.8,4.2,7.8,1.2,91.8,2.6,6,LAKE VIEW,North
17031062400,1576,33.6,3.7,30.4,5.3,83.9,3.3,6,LAKE VIEW,North
17031062500,1575,31.3,13,17.1,2.1,87.7,3,6,LAKE VIEW,North
17031062600,2370,33,1.6,11.9,1.3,88.6,4.6,6,LAKE VIEW,North
17031062700,2885,31.8,4.3,8.6,3.4,81.6,1.2,6,LAKE VIEW,North
17031062800,3625,29.3,5.1,14,3.2,86.4,2,6,LAKE VIEW,North
17031062900,3818,29.3,7.4,13.2,2.8,85.4,2.2,6,LAKE VIEW,North
17031063000,3448,29.7,8.1,10.4,3.4,85.8,2.4,6,LAKE VIEW,North
17031063100,2310,30.2,8,13.3,5.9,82.9,3.8,6,LAKE VIEW,North
17031063200,6897,33.4,8.4,14.9,4.2,79.3,4.5,6,LAKE VIEW,North
17031063301,2768,32,15.3,9.9,5.8,74.7,0.6,6,LAKE VIEW,North
17031063302,3781,31.5,7.3,13,3.6,87.3,0.3,6,LAKE VIEW,North
17031063303,1223,66.8,5.9,38.9,10.4,72.1,4.9,6,LAKE VIEW,North
17031063400,2318,29.2,5.7,8,2.1,86.8,1.2,6,LAKE VIEW,North
17031070101,3878,32.4,15.9,26.1,6.5,84,5.8,7,LINCOLN PARK,North
17031070102,2920,30.5,6.6,13.8,3,81.5,1.2,7,LINCOLN PARK,North
17031070103,1621,27.2,10.1,16.4,1.1,80.9,2.9,7,LINCOLN PARK,North
17031070200,4283,29.7,9.6,16.3,6.4,81.4,2.6,7,LINCOLN PARK,North
17031070300,3575,28.2,7.7,13,1,91.4,2.7,7,LINCOLN PARK,North
17031070400,3237,33.3,10.2,11.2,10.3,74.1,0,7,LINCOLN PARK,North
17031070500,3421,34.1,4.7,23.7,13.1,75.2,4.1,7,LINCOLN PARK,North
17031070600,3257,30.2,4.7,20.3,1.2,92.9,2.5,7,LINCOLN PARK,North
17031070700,4272,29.3,16.7,7.5,9.3,77.5,2.5,7,LINCOLN PARK,North
17031071000,4604,21.2,9.5,14.9,4.2,91,6.5,7,LINCOLN PARK,North
17031071100,3180,26.5,10.1,25.7,1.4,92.9,2.8,7,LINCOLN PARK,North
17031071200,2024,30.5,8.9,8,7.3,80.2,2,7,LINCOLN PARK,North
17031071300,3982,29.9,8.8,16.9,0,94.6,3.2,7,LINCOLN PARK,North
17031071400,4745,35.4,16.4,15.9,6,81.5,2.7,7,LINCOLN PARK,North
17031071500,6065,32.2,4.7,11,4.7,89.6,1.6,7,LINCOLN PARK,North
17031071600,1832,35.5,8.8,0,7.5,78.8,3,7,LINCOLN PARK,North
17031071700,1729,34.7,2.4,8.6,6.5,80.3,2.8,7,LINCOLN PARK,North
17031071800,2741,32.9,4.6,3.1,6.8,82.9,0.6,7,LINCOLN PARK,North
17031080100,6795,37.4,8.1,7.6,2.3,83.6,5.2,8,NEAR NORTH SIDE,Central
17031080201,3141,44.8,1.2,8.1,4.1,79.5,4.9,8,NEAR NORTH SIDE,Central
17031080202,3302,34.3,9.5,15.6,2.4,88.8,4,8,NEAR NORTH SIDE,Central
17031080300,4770,31.4,5.2,10.7,2.4,88.4,2.3,8,NEAR NORTH SIDE,Central
17031080400,4142,27.3,23,12.6,13.1,50,9.9,8,NEAR NORTH SIDE,Central
17031081000,7439,32,19.9,15.2,11.7,63,2.6,8,NEAR NORTH SIDE,Central
17031081100,4092,34.2,16.2,22,2.3,73.3,2.9,8,NEAR NORTH SIDE,Central
17031081201,4500,40.6,6.7,17.4,2.4,84,3.4,8,NEAR NORTH SIDE,Central
17031081202,2951,57.2,4.2,29.8,4.2,78.3,2.7,8,NEAR NORTH SIDE,Central
